id;title;length;year;reals;actors;genres;boxoffice
1908;Massacre Ã  la tronÃ§onneuse - Le commencement;91;2006;"Jonathan Liebesman
";Jordana Brewster, Matt Bomer, Diora Baird;Horreur, Thriller;
1909;13;91;2010;"GÃ©la Babluani
";Sam Riley, Alice Barrett, Gaby Hoffmann;Drame, Thriller;
1910;St Trinian's: Pensionnat pour jeunes filles rebelles;97;2007;"Oliver Parker
, Barnaby Thompson
";Talulah Riley, Rupert Everett, Gemma Arterton;Comedie;
1911;L'Ã¢ge de cristal;119;1976;"Michael Anderson
";Michael York, Jenny Agutter, Richard Jordan;Action, Aventure, Science-Fiction;
1912;Entre deux rives;99;2006;"Alejandro Agresti
";Keanu Reeves, Sandra Bullock, Christopher Plummer;Drame, Fantastique, Romantique;
1913;Ce que veulent les femmes;127;2000;"Nancy Meyers
";Mel Gibson, Helen Hunt, Marisa Tomei;Comedie, Fantastique, Romantique;
1914;Blue Crush;104;2002;"John Stockwell
";Kate Bosworth, Michelle Rodriguez, Matthew Davis;Drame, Romantique, Sport;
1915;Hantise;113;1999;"Jan de Bont
";Liam Neeson, Catherine Zeta-Jones, Owen Wilson;Fantastique, Horreur, MystÃ¨re;
1916;OpÃ©ration dragon;102;1973;"Robert Clouse
";Bruce Lee, John Saxon, Jim Kelly;Action, Crime, Drame;
1917;Rabbit Hole;91;2010;"John Cameron Mitchell
";Nicole Kidman, Aaron Eckhart, Dianne Wiest;Drame;
1918;Ainsi va la vie;114;1998;"Forest Whitaker
";Sandra Bullock, Harry Connick Jr., Gena Rowlands;Drame, Romantique;
1919;Le massacre de Fort Apache;125;1948;"John Ford
";John Wayne, Henry Fonda, Shirley Temple;Western;
1920;La folle histoire du monde;92;1981;"Mel Brooks
";Mel Brooks, Gregory Hines, Dom DeLuise;Comedie, Musical;
1921;Journal d'un DÃ©gonflÃ© : Ã§a fait suer!;94;2012;"David Bowers
";Zachary Gordon, Robert Capron, Devon Bostick;Comedie, Familliale;
1922;Jeu d'enfant;87;1988;"Tom Holland
";Catherine Hicks, Chris Sarandon, Alex Vincent;Horreur, Thriller;
1923;Trust;106;2010;"David Schwimmer
";Clive Owen, Catherine Keener, Liana Liberato;Drame, Thriller;
1924;Il n'est jamais trop tard;98;2011;"Tom Hanks
";Tom Hanks, Julia Roberts, Sarah Mahoney;Comedie, Drame, Romantique;
1925;58 minutes pour vivre;124;1990;"Renny Harlin
";Bruce Willis, William Atherton, Bonnie Bedelia;Action, Thriller;
1926;Ray;152;2004;"Taylor Hackford
";Jamie Foxx, Regina King, Kerry Washington;Biopic, Drame, Music;
1927;Sexe, mensonges et vidÃ©o;100;1989;"Steven Soderbergh
";James Spader, Andie MacDowell, Peter Gallagher;Drame;
1928;La derniÃ¨re tentation du Christ;164;1988;"Martin Scorsese
";Willem Dafoe, Harvey Keitel, Barbara Hershey;Drame;
1929;La rupture;106;2006;"Peyton Reed
";Jennifer Aniston, Vince Vaughn, Jon Favreau;Comedie, Drame, Romantique;
1930;Phone Game;81;2002;"Joel Schumacher
";Colin Farrell, Kiefer Sutherland, Forest Whitaker;MystÃ¨re, Thriller;
1931;Victoria - Les jeunes annÃ©es d'une reine;105;2009;"Jean-Marc VallÃ©e
";Emily Blunt, Rupert Friend, Paul Bettany;Biopic, Drame, Historique;
1932;South Park, le film - Plus long, plus grand et pas coupÃ©;81;1999;"Trey Parker
";Trey Parker, Matt Stone, Mary Kay Bergman;Animation, Comedie, Musical;
1933;Tous les espoirs sont permis;100;2012;"David Frankel
";Meryl Streep, Tommy Lee Jones, Steve Carell;Comedie, Drame, Romantique;
1934;Ennemi d'Ã©tat;132;1998;"Tony Scott
";Will Smith, Gene Hackman, Jon Voight;Action, Crime, MystÃ¨re;
1935;Les fumistes;82;1998;"Tamra Davis
";Dave Chappelle, Guillermo DÃ­az, Jim Breuer;Comedie, Crime;
1936;Mysterious Skin;105;2004;"Gregg Araki
";Brady Corbet, Joseph Gordon-Levitt, Elisabeth Shue;Drame;
1937;Leprechaun;92;1993;"Mark Jones
";Warwick Davis, Jennifer Aniston, Ken Olandt;Comedie, Fantastique, Horreur;
1938;Un mariage trop parfait;103;2001;"Adam Shankman
";Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras;Comedie, Romantique;
1939;Dans la ligne de mire;128;1993;"Wolfgang Petersen
";Clint Eastwood, John Malkovich, Rene Russo;Action, Crime, Drame;
1940;Les 101 dalmatiens;79;1961;"Clyde Geronimi
, Hamilton Luske
, Wolfgang Reitherman
";Rod Taylor, Betty Lou Gerson, J. Pat O'Malley;Animation, Aventure, Familliale;
1941;Wall Street: l'argent ne dort jamais;133;2010;"Oliver Stone
";Shia LaBeouf, Michael Douglas, Carey Mulligan;Drame;
1942;Luke la main froide;126;1967;"Stuart Rosenberg
";Paul Newman, George Kennedy, Strother Martin;Crime, Drame;
1943;Saw III;108;2006;"Darren Lynn Bousman
";Tobin Bell, Shawnee Smith, Angus Macfadyen;Crime, Horreur, Thriller;
1944;Ladyhawke, la femme de la nuit;121;1985;"Richard Donner
";Matthew Broderick, Rutger Hauer, Michelle Pfeiffer;Aventure, Drame, Fantastique;
1945;Playboy Ã  saisir;97;2006;"Tom Dey
";Matthew McConaughey, Sarah Jessica Parker, Kathy Bates;Comedie, Romantique;
1946;Aliens vs Predator: Requiem;94;2007;"Colin Strause
, Greg Strause
";Reiko Aylesworth, Steven Pasquale, John Ortiz;Action, Horreur, Science-Fiction;
1947;Honey;94;2003;"Bille Woodruff
";Jessica Alba, Mekhi Phifer, Romeo Miller;Drame, Music, Romantique;
1948;Traque sur internet;114;1995;"Irwin Winkler
";Sandra Bullock, Jeremy Northam, Dennis Miller;Action, Crime, Drame;
1949;Ce dont rÃªvent les filles;105;2003;"Dennie Gordon
";Amanda Bynes, Colin Firth, Kelly Preston;Comedie, Drame, Romantique;
1950;Les femmes de ses rÃªves;116;2007;"Bobby Farrelly
, Peter Farrelly
";Ben Stiller, Michelle Monaghan, Malin Akerman;Comedie, Romantique;
1951;Spartatouille;86;2008;"Jason Friedberg
, Aaron Seltzer
";Sean Maguire, Kevin Sorbo, Carmen Electra;Comedie, Guerre;
1952;Le septiÃ¨me sceau;96;1957;"Ingmar Bergman
";Max von Sydow, Gunnar BjÃ¶rnstrand, Bengt Ekerot;Drame, Fantastique;
1953;"Celeste &amp; Jesse Forever";92;2012;"Lee Toland Krieger
";Rashida Jones, Andy Samberg, Elijah Wood;Comedie, Drame, Romantique;
1954;Saw VI;90;2009;"Kevin Greutert
";Tobin Bell, Costas Mandylor, Mark Rolston;Horreur, MystÃ¨re;
