id;title;length;year;reals;actors;genres;boxoffice
1;The Amazing Spider-Man: Le destin d'un hÃ©ros;142;2014;"Marc Webb
";Andrew Garfield, Emma Stone, Jamie Foxx;Action, Aventure, Fantastique;
2;Captain America: Le soldat de l'hiver;136;2014;"Anthony Russo
, Joe Russo
";Chris Evans, Samuel L. Jackson, Scarlett Johansson;Action, Aventure, Science-Fiction;
3;Divergente;139;2014;"Neil Burger
";Shailene Woodley, Theo James, Kate Winslet;Aventure, Romantique, Science-Fiction;
4;Transcendance;119;2014;"Wally Pfister
";Johnny Depp, Rebecca Hall, Morgan Freeman;Drame, MystÃ¨re, Science-Fiction;
5;La reine des neiges;102;2013;"Chris Buck
, Jennifer Lee
";Kristen Bell, Josh Gad, Idina Menzel;Animation, Aventure, Comedie;
6;NoÃ©;138;2014;"Darren Aronofsky
";Russell Crowe, Jennifer Connelly, Anthony Hopkins;Action, Aventure, Drame;
7;The Grand Budapest hotel;100;2014;"Wes Anderson
";Ralph Fiennes, F. Murray Abraham, Mathieu Amalric;Comedie;
8;Le loup de Wall Street;180;2013;"Martin Scorsese
";Leonardo DiCaprio, Jonah Hill, Margot Robbie;Biopic, Comedie, Crime;
9;Nymphomaniac - Volume 1;118;2013;"Lars von Trier
";Charlotte Gainsbourg, Stellan SkarsgÃ¥rd, Stacy Martin;Drame;
10;Le Hobbit: La dÃ©solation de Smaug;161;2013;"Peter Jackson
";Ian McKellen, Martin Freeman, Richard Armitage;Aventure, Fantastique;
11;Hunger Games: L'embrasement;146;2013;"Francis Lawrence
";Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth;Aventure, Science-Fiction;
12;That Awkward Moment;94;2014;"Tom Gormican
";Zac Efron, Michael B. Jordan, Miles Teller;Comedie, Romantique;
13;American Bluff;138;2013;"David O. Russell
";Christian Bale, Amy Adams, Bradley Cooper;Crime, Drame;
14;The Amazing Spider-Man;136;2012;"Marc Webb
";Andrew Garfield, Emma Stone, Rhys Ifans;Action, Aventure, Fantastique;
15;Man of Steel;143;2013;"Zack Snyder
";Henry Cavill, Amy Adams, Michael Shannon;Action, Aventure, Fantastique;
16;Cet Ã©tÃ©-lÃ ;103;2013;"Nat Faxon
, Jim Rash
";Steve Carell, Toni Collette, Allison Janney;Comedie, Drame;
17;12 Years a Slave;134;2013;"Steve McQueen
";Chiwetel Ejiofor, Michael K. Williams, Michael Fassbender;Biopic, Drame, Historique;
18;La vie rÃªvÃ©e de Walter Mitty;114;2013;"Ben Stiller
";Ben Stiller, Kristen Wiig, Jon Daly;Aventure, Comedie, Drame;
19;Captain America: First Avenger;124;2011;"Joe Johnston
";Chris Evans, Hugo Weaving, Samuel L. Jackson;Action, Aventure, Science-Fiction;
20;Fargo;98;1996;"Joel Coen
, Ethan Coen
";William H. Macy, Frances McDormand, Steve Buscemi;Crime, Drame, Thriller;
21;Snowpiercer - le transperceneige;126;2013;"Joon-ho Bong
";Chris Evans, Jamie Bell, Tilda Swinton;Action, Drame, Science-Fiction;
22;Les dix commandements;220;1956;"Cecil B. DeMille
";Charlton Heston, Yul Brynner, Anne Baxter;Aventure, Drame, Historique;
23;God's Not Dead;113;2014;"Harold Cronk
";Shane Harper, Kevin Sorbo, David A.R. White;Drame;
24;The Raid 2: Berandal;150;2014;"Gareth Evans
";Iko Uwais, Yayan Ruhian, Arifin Putra;Action, Crime, Thriller;
25;Avengers;143;2012;"Joss Whedon
";Robert Downey Jr., Chris Evans, Scarlett Johansson;Action, Science-Fiction;
26;Thor: Le monde des tÃ©nÃ¨bres;112;2013;"Alan Taylor
";Chris Hemsworth, Natalie Portman, Tom Hiddleston;Action, Aventure, Fantastique;
27;Need for Speed;132;2014;"Scott Waugh
";Aaron Paul, Dominic Cooper, Imogen Poots;Action, Crime, Drame;
28;Veronica Mars;107;2014;"Rob Thomas
";Kristen Bell, Jason Dohring, Enrico Colantoni;Comedie, Crime, Drame;
29;300: La naissance d'un empire;102;2014;"Noam Murro
";Sullivan Stapleton, Eva Green, Lena Headey;Action, Drame, Fantastique;
30;La grande aventure Lego;100;2014;"Phil Lord
, Christopher Miller
";Will Arnett, Elizabeth Banks, Alison Brie;Animation, Aventure, Comedie;
31;Hunger Games;142;2012;"Gary Ross
";Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth;Aventure, Science-Fiction;
32;The Hit Girls;112;2012;"Jason Moore
";Anna Kendrick, Brittany Snow, Rebel Wilson;Comedie, Music, Romantique;
33;PompÃ©i;105;2014;"Paul W.S. Anderson
";Kit Harington, Emily Browning, Kiefer Sutherland;Action, Aventure, Drame;
34;Mise Ã  l'Ã©preuve;99;2014;"Tim Story
";Ice Cube, Kevin Hart, Tika Sumpter;Action, Comedie;
35;Dallas Buyers Club;117;2013;"Jean-Marc VallÃ©e
";Matthew McConaughey, Jennifer Garner, Jared Leto;Biopic, Drame, Historique;
36;La lÃ©gende d'Hercule;99;2014;"Renny Harlin
";Kellan Lutz, Gaia Weiss, Scott Adkins;Action, Aventure;
37;LÃ©gendes vivantes;119;2013;"Adam McKay
";Will Ferrell, Christina Applegate, Paul Rudd;Comedie;
38;Du sang et des larmes;121;2013;"Peter Berg
";Mark Wahlberg, Taylor Kitsch, Emile Hirsch;Action, Biopic, Drame;
39;Lolita malgrÃ© moi;97;2004;"Mark Waters
";Lindsay Lohan, Jonathan Bennett, Rachel McAdams;Comedie;
40;Her;126;2013;"Spike Jonze
";Joaquin Phoenix, Amy Adams, Scarlett Johansson;Drame, Romantique, Science-Fiction;
41;Forrest Gump;142;1994;"Robert Zemeckis
";Tom Hanks, Robin Wright, Gary Sinise;Drame, Romantique;
42;47 Ronin;118;2013;"Carl Rinsch
";Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki;Action, Aventure, Fantastique;
43;Les Ã©vadÃ©s;142;1994;"Frank Darabont
";Tim Robbins, Morgan Freeman, Bob Gunton;Crime, Drame;
44;Gatsby le magnifique;143;2013;"Baz Luhrmann
";Leonardo DiCaprio, Carey Mulligan, Joel Edgerton;Drame, Romantique;
45;Lone Ranger - Naissance d'un hÃ©ros;149;2013;"Gore Verbinski
";Johnny Depp, Armie Hammer, William Fichtner;Action, Aventure, Western;
46;X-Men: Le commencement;132;2011;"Matthew Vaughn
";James McAvoy, Michael Fassbender, Jennifer Lawrence;Action, Aventure, Science-Fiction;
47;Malavita;111;2013;"Luc Besson
";Robert De Niro, Michelle Pfeiffer, Dianna Agron;Comedie, Crime, Thriller;
48;Dans l'ombre de Mary: La promesse de Walt Disney;125;2013;"John Lee Hancock
";Emma Thompson, Tom Hanks, Annie Rose Buckley;Biopic, Comedie, Drame;
49;La voleuse de livres;131;2013;"Brian Percival
";Sophie NÃ©lisse, Geoffrey Rush, Emily Watson;Drame, Guerre;
50;Pacific Rim;132;2013;"Guillermo del Toro
";Idris Elba, Charlie Hunnam, Rinko Kikuchi;Action, Aventure, Science-Fiction;
51;Le parrain;175;1972;"Francis Ford Coppola
";Marlon Brando, Al Pacino, James Caan;Crime, Drame;
52;The Dark Knight Rises;165;2012;"Christopher Nolan
";Christian Bale, Tom Hardy, Anne Hathaway;Action, Crime, Thriller;
53;Le Hobbit: Un voyage inattendu;169;2012;"Peter Jackson
";Martin Freeman, Ian McKellen, Richard Armitage;Aventure, Fantastique;
54;C'est la fin;107;2013;"Evan Goldberg
, Seth Rogen
";James Franco, Jonah Hill, Seth Rogen;Comedie, Fantastique;
55;Un Ã©tÃ© Ã  Osage County;121;2013;"John Wells
";Meryl Streep, Dermot Mulroney, Julia Roberts;Drame;
56;Nymphomaniac - Volume 2;123;2013;"Lars von Trier
";Charlotte Gainsbourg, Stellan SkarsgÃ¥rd, Willem Dafoe;Drame, MystÃ¨re;
57;Gravity;91;2013;"Alfonso CuarÃ³n
";Sandra Bullock, George Clooney, Ed Harris;Drame, Science-Fiction, Thriller;
58;Django Unchained;165;2012;"Quentin Tarantino
";Jamie Foxx, Christoph Waltz, Leonardo DiCaprio;Western;
59;G.I. Joe: Conspiration;110;2013;"Jon M. Chu
";Dwayne Johnson, Channing Tatum, Adrianne Palicki;Action, Aventure, Science-Fiction;
60;Match retour;113;2013;"Peter Segal
";Robert De Niro, Sylvester Stallone, Kim Basinger;Comedie, Sport;
61;La passion du Christ;127;2004;"Mel Gibson
";Jim Caviezel, Monica Bellucci, Maia Morgenstern;Drame;
62;Homefront;100;2013;"Gary Fleder
";Jason Statham, James Franco, Winona Ryder;Action, Crime, Thriller;
63;The Mortal Instruments: la citÃ© des tÃ©nÃ¨bres;130;2013;"Harald Zwart
";Lily Collins, Jamie Campbell Bower, Robert Sheehan;Action, Aventure, Fantastique;
64;The Dark Knight: Le chevalier noir;152;2008;"Christopher Nolan
";Christian Bale, Heath Ledger, Aaron Eckhart;Action, Crime, Drame;
65;Iron Man 3;130;2013;"Shane Black
";Robert Downey Jr., Guy Pearce, Gwyneth Paltrow;Action, Aventure, Fantastique;
66;Spider-Man;121;2002;"Sam Raimi
";Tobey Maguire, Kirsten Dunst, Willem Dafoe;Action, Fantastique;
67;Les brasiers de la colÃ¨re;116;2013;"Scott Cooper
";Christian Bale, Casey Affleck, Zoe Saldana;Crime, Drame, Thriller;
68;Don Jon;90;2013;"Joseph Gordon-Levitt
";Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore;Comedie, Drame, Romantique;
69;Prisoners;153;2013;"Denis Villeneuve
";Hugh Jackman, Jake Gyllenhaal, Viola Davis;Crime, Drame, Thriller;
70;Les goonies;114;1985;"Richard Donner
";Sean Astin, Josh Brolin, Jeff Cohen;Aventure, Comedie, Familliale;
71;Insaisissables;115;2013;"Louis Leterrier
";Jesse Eisenberg, Common, Mark Ruffalo;Crime, MystÃ¨re, Thriller;
72;Harry Potter et les reliques de la mort: 2Ã¨me partie;130;2011;"David Yates
";Daniel Radcliffe, Emma Watson, Rupert Grint;Aventure, Fantastique, MystÃ¨re;
73;Cartel;117;2013;"Ridley Scott
";Michael Fassbender, PenÃ©lope Cruz, Cameron Diaz;Crime, Drame, Thriller;
74;Epic - La bataille du royaume secret;102;2013;"Chris Wedge
";Amanda Seyfried, Josh Hutcherson, BeyoncÃ© Knowles;Animation, Aventure, Familliale;
75;Raiponce;100;2010;"Nathan Greno
, Byron Howard
";Mandy Moore, Zachary Levi, Donna Murphy;Animation, Comedie, Familliale;
76;La stratÃ©gie Ender;114;2013;"Gavin Hood
";Harrison Ford, Asa Butterfield, Hailee Steinfeld;Action, Aventure, Science-Fiction;
77;Il Ã©tait temps;123;2013;"Richard Curtis
";Domhnall Gleeson, Rachel McAdams, Bill Nighy;Drame, Fantastique, Romantique;
78;Only Lovers Left Alive;123;2013;"Jim Jarmusch
";Tilda Swinton, Tom Hiddleston, Mia Wasikowska;Drame, Horreur, Romantique;
79;American Beauty;122;1999;"Sam Mendes
";Kevin Spacey, Annette Bening, Thora Birch;Drame;
80;Les stagiaires;119;2013;"Shawn Levy
";Vince Vaughn, Owen Wilson, Rose Byrne;Comedie;
81;Copains pour toujours 2;101;2013;"Dennis Dugan
";Adam Sandler, Kevin James, Chris Rock;Comedie;
82;M. Peabody et Sherman: Les voyages dans le temps;92;2014;"Rob Minkoff
";Ty Burrell, Max Charles, Stephen Colbert;Animation, Aventure, Comedie;
83;Les Miller, une famille en herbe;110;2013;"Rawson Marshall Thurber
";Jason Sudeikis, Jennifer Aniston, Emma Roberts;Comedie, Crime;
84;Conjuring: Les dossiers Warren;112;2013;"James Wan
";Patrick Wilson, Vera Farmiga, Ron Livingston;Horreur;
85;RoboCop;117;2014;"JosÃ© Padilha
";Joel Kinnaman, Gary Oldman, Michael Keaton;Action, Crime, Science-Fiction;
86;Titanic;194;1997;"James Cameron
";Leonardo DiCaprio, Kate Winslet, Billy Zane;Drame, Romantique;
87;Inception;148;2010;"Christopher Nolan
";Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page;Action, Aventure, MystÃ¨re;
88;Le seigneur des anneaux: La communautÃ© de l'anneau;178;2001;"Peter Jackson
";Elijah Wood, Ian McKellen, Orlando Bloom;Action, Aventure, Fantastique;
89;Sin City;124;2005;"Frank Miller
, Robert Rodriguez
, Quentin Tarantino
";Mickey Rourke, Clive Owen, Bruce Willis;Crime, MystÃ¨re, Thriller;
90;The Spectacular Now;95;2013;"James Ponsoldt
";Miles Teller, Shailene Woodley, Kyle Chandler;Comedie, Drame, Romantique;
91;Thor;115;2011;"Kenneth Branagh
, Joss Whedon
";Chris Hemsworth, Anthony Hopkins, Natalie Portman;Action, Aventure, Fantastique;
92;21 Jump Street;109;2012;"Phil Lord
, Christopher Miller
";Jonah Hill, Channing Tatum, Ice Cube;Action, Comedie, Crime;
93;Spider-Man 3;139;2007;"Sam Raimi
";Tobey Maguire, Kirsten Dunst, Topher Grace;Action, Aventure, Fantastique;
94;300;117;2006;"Zack Snyder
";Gerard Butler, Lena Headey, David Wenham;Action, Fantastique, Historique;
95;Fight Club;139;1999;"David Fincher
";Brad Pitt, Edward Norton, Helena Bonham Carter;Drame;
96;Delivery Man;105;2013;"Ken Scott
";Vince Vaughn, Chris Pratt, Cobie Smulders;Comedie, Drame;
97;Mes meilleures amies;125;2011;"Paul Feig
";Kristen Wiig, Maya Rudolph, Rose Byrne;Comedie, Romantique;
98;Hop;95;2011;"Tim Hill
";Russell Brand, James Marsden, Elizabeth Perkins;Animation, Comedie, Familliale;
99;Rush;123;2013;"Ron Howard
";Daniel BrÃ¼hl, Chris Hemsworth, Olivia Wilde;Action, Biopic, Drame;
100;Capitaine Phillips;134;2013;"Paul Greengrass
";Tom Hanks, Barkhad Abdi, Barkhad Abdirahman;Biopic, Drame, Thriller;
101;Philomena;98;2013;"Stephen Frears
";Judi Dench, Steve Coogan, Sophie Kennedy Clark;Biopic, Drame;
102;Non-Stop;106;2014;"Jaume Collet-Serra
";Liam Neeson, Julianne Moore, Scoot McNairy;Action, MystÃ¨re, Thriller;
103;Star Trek: Into Darkness;132;2013;"J.J. Abrams
";Chris Pine, Zachary Quinto, Zoe Saldana;Action, Aventure, Science-Fiction;
104;Pulp Fiction;154;1994;"Quentin Tarantino
";John Travolta, Uma Thurman, Samuel L. Jackson;Crime, Drame, Thriller;
105;Twilight: Chapitre 5 - RÃ©vÃ©lation, 2e partie;115;2012;"Bill Condon
";Kristen Stewart, Robert Pattinson, Taylor Lautner;Aventure, Drame, Fantastique;
106;Spring Breakers;94;2012;"Harmony Korine
";Vanessa Hudgens, Selena Gomez, Ashley Benson;Crime, Drame;
107;Harry Potter Ã  l'Ã©cole des sorciers;152;2001;"Chris Columbus
";Daniel Radcliffe, Rupert Grint, Richard Harris;Aventure, Familliale, Fantastique;
108;Mud - Sur les rives du Mississippi;130;2012;"Jeff Nichols
";Matthew McConaughey, Tye Sheridan, Jacob Lofland;Drame;
109;Gladiator;155;2000;"Ridley Scott
";Russell Crowe, Joaquin Phoenix, Connie Nielsen;Action, Aventure, Drame;
110;Ã‰vasion;115;2013;"Mikael HÃ¥fstrÃ¶m
";Sylvester Stallone, Arnold Schwarzenegger, 50 Cent;Action, MystÃ¨re, Thriller;
111;Le monde de Charlie;102;2012;"Stephen Chbosky
";Logan Lerman, Emma Watson, Ezra Miller;Drame, Romantique;
112;"Fast &amp; Furious 6";130;2013;"Justin Lin
";Vin Diesel, Paul Walker, Dwayne Johnson;Action, Crime, Thriller;
113;La vie d'AdÃ¨le;179;2013;"Abdellatif Kechiche
";LÃ©a Seydoux, AdÃ¨le Exarchopoulos, Salim Kechiouche;Drame, Romantique;
114;Happiness Therapy;122;2012;"David O. Russell
";Bradley Cooper, Jennifer Lawrence, Robert De Niro;Comedie, Drame, Romantique;
115;Avatar;162;2009;"James Cameron
";Sam Worthington, Zoe Saldana, Sigourney Weaver;Action, Aventure, Fantastique;
116;Les affranchis;146;1990;"Martin Scorsese
";Robert De Niro, Ray Liotta, Joe Pesci;Biopic, Crime, Drame;
117;Carrie, la vengeance;100;2013;"Kimberly Peirce
";ChloÃ« Grace Moretz, Julianne Moore, Gabriella Wilde;Drame, Horreur;
118;Crazy, Stupid, Love.;118;2011;"Glenn Ficarra
, John Requa
";Steve Carell, Ryan Gosling, Julianne Moore;Comedie, Drame, Romantique;
119;Batman Begins;140;2005;"Christopher Nolan
";Christian Bale, Michael Caine, Ken Watanabe;Action, Crime, Thriller;
120;Les flingueuses;117;2013;"Paul Feig
";Sandra Bullock, Michael McDonald, Melissa McCarthy;Action, Comedie, Crime;
121;Requiem for a Dream;102;2000;"Darren Aronofsky
";Ellen Burstyn, Jared Leto, Jennifer Connelly;Drame;
122;Vampire Academy;104;2014;"Mark Waters
";Zoey Deutch, Lucy Fry, Danila Kozlovsky;Action, Comedie, Fantastique;
123;Inglourious Basterds;153;2009;"Quentin Tarantino
, Eli Roth
";Brad Pitt, Diane Kruger, Eli Roth;Aventure, Drame, Guerre;
124;Planes;91;2013;"Klay Hall
";Carlos Alazraqui, Dane Cook, Stacy Keach;Animation, Aventure, Comedie;
125;Paranormal Activity: The Marked Ones;84;2014;"Christopher Landon
";Andrew Jacobs, Jorge Diaz, Gabrielle Walsh;Horreur, Thriller;
126;Sucker Punch;110;2011;"Zack Snyder
";Emily Browning, Vanessa Hudgens, Abbie Cornish;Action, Fantastique, Thriller;
127;Watchmen: Les gardiens;162;2009;"Zack Snyder
";Jackie Earle Haley, Patrick Wilson, Carla Gugino;Action, MystÃ¨re, Science-Fiction;
128;Oldboy;104;2013;"Spike Lee
";Josh Brolin, Elizabeth Olsen, Samuel L. Jackson;Action, Drame, MystÃ¨re;
129;Les infiltrÃ©s;151;2006;"Martin Scorsese
";Leonardo DiCaprio, Matt Damon, Jack Nicholson;Crime, Drame, Thriller;
130;Filth;97;2013;"Jon S. Baird
";James McAvoy, Jamie Bell, Eddie Marsan;Comedie, Crime, Drame;
131;Love Actually;135;2003;"Richard Curtis
";Hugh Grant, Martine McCutcheon, Liam Neeson;Comedie, Drame, Romantique;
132;X-Men - L'affrontement final;104;2006;"Brett Ratner
";Patrick Stewart, Hugh Jackman, Halle Berry;Action, Aventure, Science-Fiction;
133;X-Men;104;2000;"Bryan Singer
";Patrick Stewart, Hugh Jackman, Ian McKellen;Action, Aventure, Science-Fiction;
134;Le silence des agneaux;118;1991;"Jonathan Demme
";Jodie Foster, Anthony Hopkins, Lawrence A. Bonney;Crime, Drame, Thriller;
135;Magic Mike;110;2012;"Steven Soderbergh
";Channing Tatum, Alex Pettyfer, Olivia Munn;Comedie, Drame;
136;Le magicien d'Oz;102;1939;"Victor Fleming
, George Cukor
, Mervyn LeRoy
, Norman Taurog
, King Vidor
";Judy Garland, Frank Morgan, Ray Bolger;Aventure, Familliale, Fantastique;
137;Moi, moche et mÃ©chant 2;98;2013;"Pierre Coffin
, Chris Renaud
";Steve Carell, Kristen Wiig, Benjamin Bratt;Animation, Aventure, Comedie;
138;N'oublie jamais;123;2004;"Nick Cassavetes
";Gena Rowlands, James Garner, Rachel McAdams;Drame, Romantique;
139;Oblivion;124;2013;"Joseph Kosinski
";Tom Cruise, Morgan Freeman, Andrea Riseborough;Action, Aventure, MystÃ¨re;
140;GÃ©nÃ©ration rebelle;102;1993;"Richard Linklater
";Jason London, Wiley Wiggins, Matthew McConaughey;Comedie, Drame;
141;Perfect Mothers;112;2013;"Anne Fontaine
";Naomi Watts, Robin Wright, Xavier Samuel;Drame;
142;Il faut sauver le soldat Ryan;169;1998;"Steven Spielberg
";Tom Hanks, Matt Damon, Tom Sizemore;Action, Drame, Guerre;
143;Wolverine: Le combat de l'immortel;126;2013;"James Mangold
";Hugh Jackman, Will Yun Lee, Tao Okamoto;Action, Aventure, Fantastique;
144;Heat;170;1995;"Michael Mann
";Al Pacino, Robert De Niro, Val Kilmer;Action, Crime, Drame;
145;World War Z;116;2013;"Marc Forster
";Brad Pitt, Mireille Enos, Daniella Kertesz;Action, Aventure, Horreur;
146;Time Out;109;2011;"Andrew Niccol
";Justin Timberlake, Amanda Seyfried, Cillian Murphy;Action, Science-Fiction, Thriller;
147;Last Vegas;105;2013;"Jon Turteltaub
";Robert De Niro, Michael Douglas, Morgan Freeman;Comedie;
148;Elysium;109;2013;"Neill Blomkamp
";Matt Damon, Jodie Foster, Sharlto Copley;Action, Drame, Science-Fiction;
149;Stardust, le mystÃ¨re de l'Ã©toile;127;2007;"Matthew Vaughn
";Charlie Cox, Claire Danes, Sienna Miller;Aventure, Familliale, Fantastique;
150;Spider-Man 2;127;2004;"Sam Raimi
";Tobey Maguire, Kirsten Dunst, Alfred Molina;Action, Fantastique;
151;Kick-Ass 2;103;2013;"Jeff Wadlow
";Aaron Taylor-Johnson, ChloÃ« Grace Moretz, Christopher Mintz-Plasse;Action, Comedie, Crime;
152;Matrix;136;1999;"Andy Wachowski
, Lana Wachowski
";Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss;Action, Science-Fiction;
153;Moi, moche et mÃ©chant;95;2010;"Pierre Coffin
, Chris Renaud
";Steve Carell, Jason Segel, Russell Brand;Animation, Comedie, Crime;
154;Le prestige;130;2006;"Christopher Nolan
";Christian Bale, Hugh Jackman, Scarlett Johansson;Drame, MystÃ¨re, Thriller;
155;La couleur des sentiments;146;2011;"Tate Taylor
";Emma Stone, Viola Davis, Octavia Spencer;Drame;
156;Iron Man 2;124;2010;"Jon Favreau
, Kenneth Branagh
";Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow;Action, Aventure, Science-Fiction;
157;Braveheart;177;1995;"Mel Gibson
";Mel Gibson, Sophie Marceau, Patrick McGoohan;Action, Biopic, Drame;
158;Intouchables;112;2011;"Olivier Nakache
, Eric Toledano
";FranÃ§ois Cluzet, Omar Sy, Anne Le Ny;Biopic, Comedie, Drame;
159;Donnie Darko;113;2001;"Richard Kelly
";Jake Gyllenhaal, Jena Malone, Mary McDonnell;Drame, MystÃ¨re, Science-Fiction;
160;Iron Man;126;2008;"Jon Favreau
";Robert Downey Jr., Gwyneth Paltrow, Terrence Howard;Action, Aventure, Science-Fiction;
161;Rio;96;2011;"Carlos Saldanha
";Jesse Eisenberg, Anne Hathaway, George Lopez;Animation, Aventure, Comedie;
162;American Nightmare;85;2013;"James DeMonaco
";Ethan Hawke, Lena Headey, Max Burkholder;Horreur, Science-Fiction, Thriller;
163;X-Men 2;133;2003;"Bryan Singer
";Patrick Stewart, Hugh Jackman, Halle Berry;Action, Aventure, Science-Fiction;
164;Psychose;109;1960;"Alfred Hitchcock
";Anthony Perkins, Janet Leigh, Vera Miles;Horreur, MystÃ¨re, Thriller;
165;Bad Teacher;92;2011;"Jake Kasdan
";Cameron Diaz, Jason Segel, Justin Timberlake;Comedie;
166;The Raid;101;2011;"Gareth Evans
";Iko Uwais, Ananda George, Ray Sahetapy;Action, Crime, Thriller;
167;Twilight: Chapitre 1 - Fascination;122;2008;"Catherine Hardwicke
";Kristen Stewart, Robert Pattinson, Billy Burke;Drame, Fantastique, Romantique;
168;Moonrise Kingdom;94;2012;"Wes Anderson
";Jared Gilman, Kara Hayward, Bruce Willis;Comedie, Drame, Romantique;
169;Cloud Atlas;172;2012;"Tom Tykwer
, Andy Wachowski
, Lana Wachowski
";Tom Hanks, Halle Berry, Hugh Grant;Aventure, Drame, Science-Fiction;
170;Insidious: Chapitre 2;106;2013;"James Wan
";Patrick Wilson, Rose Byrne, Barbara Hershey;Horreur, Thriller;
171;La mÃ©lodie du bonheur;174;1965;"Robert Wise
";Julie Andrews, Christopher Plummer, Eleanor Parker;Biopic, Drame, Familliale;
172;Le roi lion;89;1994;"Roger Allers
, Rob Minkoff
";Matthew Broderick, Jeremy Irons, James Earl Jones;Animation, Aventure, Drame;
173;La guerre des Ã©toiles;121;1977;"George Lucas
";Mark Hamill, Harrison Ford, Carrie Fisher;Action, Aventure, Fantastique;
174;Usual Suspects;106;1995;"Bryan Singer
";Kevin Spacey, Gabriel Byrne, Chazz Palminteri;Crime, Drame, Thriller;
175;Le seigneur des anneaux: Le retour du roi;201;2003;"Peter Jackson
";Elijah Wood, Viggo Mortensen, Ian McKellen;Action, Aventure, Fantastique;
176;Black Swan;108;2010;"Darren Aronofsky
";Natalie Portman, Mila Kunis, Vincent Cassel;Drame, MystÃ¨re, Thriller;
177;40 ans: mode d'emploi;134;2012;"Judd Apatow
";Paul Rudd, Leslie Mann, Maude Apatow;Comedie;
178;Easy Girl;92;2010;"Will Gluck
";Emma Stone, Amanda Bynes, Penn Badgley;Comedie, Romantique;
179;Les MisÃ©rables;158;2012;"Tom Hooper
";Hugh Jackman, Russell Crowe, Anne Hathaway;Drame, Musical, Romantique;
180;Les dents de la mer;124;1975;"Steven Spielberg
";Roy Scheider, Robert Shaw, Richard Dreyfuss;Aventure, Horreur, Thriller;
181;Inside Llewyn Davis;104;2013;"Ethan Coen
, Joel Coen
";Oscar Isaac, Carey Mulligan, John Goodman;Drame, Music;
182;Le parrain, 2Ã¨me partie;200;1974;"Francis Ford Coppola
";Al Pacino, Robert De Niro, Robert Duvall;Crime, Drame;
183;La liste de Schindler;195;1993;"Steven Spielberg
";Liam Neeson, Ralph Fiennes, Ben Kingsley;Biopic, Drame, Historique;
184;Prometheus;124;2012;"Ridley Scott
";Noomi Rapace, Logan Marshall-Green, Michael Fassbender;Aventure, MystÃ¨re, Science-Fiction;
185;Monstres Academy;104;2013;"Dan Scanlon
";Billy Crystal, John Goodman, Steve Buscemi;Animation, Aventure, Comedie;
186;Le monde fantastique d'Oz;130;2013;"Sam Raimi
";James Franco, Michelle Williams, Rachel Weisz;Aventure, Familliale, Fantastique;
187;Jurassic Park;127;1993;"Steven Spielberg
";Sam Neill, Laura Dern, Jeff Goldblum;Aventure, Science-Fiction;
188;SuperGrave;113;2007;"Greg Mottola
";Michael Cera, Jonah Hill, Christopher Mintz-Plasse;Comedie;
189;Le majordome;132;2013;"Lee Daniels
";Forest Whitaker, Oprah Winfrey, John Cusack;Biopic, Drame;
190;Princess Bride;98;1987;"Rob Reiner
";Cary Elwes, Mandy Patinkin, Robin Wright;Aventure, Comedie, Familliale;
191;Grease;110;1978;"Randal Kleiser
";John Travolta, Olivia Newton-John, Stockard Channing;Musical, Romantique;
192;White House Down;131;2013;"Roland Emmerich
";Channing Tatum, Jamie Foxx, Maggie Gyllenhaal;Action, Drame, Thriller;
193;Les 4 fantastiques;106;2005;"Tim Story
";Ioan Gruffudd, Michael Chiklis, Chris Evans;Action, Aventure, Fantastique;
194;Nebraska;115;2013;"Alexander Payne
";Bruce Dern, Will Forte, June Squibb;Aventure, Drame;
195;Mr. Nobody;141;2009;"Jaco Van Dormael
";Jared Leto, Sarah Polley, Diane Kruger;Drame, Fantastique, Romantique;
196;La petite sirÃ¨ne;83;1989;"Ron Clements
, John Musker
";Jodi Benson, Samuel E. Wright, Rene Auberjonois;Animation, Familliale, Fantastique;
197;L'incroyable Hulk;112;2008;"Louis Leterrier
";Edward Norton, Liv Tyler, Tim Roth;Action, Science-Fiction, Thriller;
198;Mary Poppins;139;1964;"Robert Stevenson
";Julie Andrews, Dick Van Dyke, David Tomlinson;Comedie, Familliale, Fantastique;
199;Toy Story 3;103;2010;"Lee Unkrich
";Tom Hanks, Tim Allen, Joan Cusack;Animation, Aventure, Comedie;
200;The Place Beyond the Pines;140;2012;"Derek Cianfrance
";Ryan Gosling, Bradley Cooper, Eva Mendes;Crime, Drame;
201;Sublimes crÃ©atures;124;2013;"Richard LaGravenese
";Alice Englert, Viola Davis, Emma Thompson;Drame, Fantastique, Romantique;
202;Breakfast Club;97;1985;"John Hughes
";Emilio Estevez, Judd Nelson, Molly Ringwald;Comedie, Drame;
203;Skyfall;143;2012;"Sam Mendes
";Daniel Craig, Javier Bardem, Naomie Harris;Action, Thriller;
