title	boxoffice	budget
Tideland	0.197659	19.3
The Tempest	0.346594	20
Pluto Nash	2.683893	100
Monkeybone	2.210366	75
Manderlay	0.469101	14.2
Machine Gun	1.104633	30
Pluie d'enfer	2.6	70
Ray	1.772105	40
Mais qui a tu̩ Mona?	0.747934	16

